update_time,last_price,volume,turnover,turnover_rate,ask_price,bid_price,ask_vol,bid_vol,avg_price,amplitude,bid_ask_ratio,volume_ratio,MA5,MA20,MA diff
2020-08-13 13:44:26,2.61,61854466.0,162136330.0,0.07400000000000001,2.62,2.61,58023000.0,56924000.0,2.6210000000000004,1.521,1.164,0.434,,,
2020-08-13 13:45:24,2.62,61943466.0,162369430.0,0.07400000000000001,2.62,2.61,59319000.0,57013000.0,2.6210000000000004,1.521,1.044,0.433,,,
2020-08-13 13:46:26,2.61,62519466.0,163873295.0,0.075,2.62,2.61,58820000.0,56517000.0,2.6210000000000004,1.521,1.055,0.434,,,
2020-08-13 13:47:27,2.61,62587466.0,164050880.0,0.075,2.62,2.61,59268000.0,56426000.0,2.6210000000000004,1.521,0.91,0.433,,,
2020-08-13 13:48:41,2.61,63361466.0,166073290.0,0.076,2.62,2.61,59084000.0,55890000.0,2.6210000000000004,1.521,0.8290000000000001,0.431,2.6119999999999997,,
2020-08-13 13:49:35,2.62,64368466.0,168701790.0,0.077,2.62,2.61,58479000.0,58346000.0,2.62,1.521,1.4180000000000001,0.441,2.614,,
2020-08-13 13:50:40,2.62,64399466.0,168782830.0,0.077,2.62,2.61,57119000.0,58509000.0,2.62,1.521,1.641,0.439,2.614,,
2020-08-13 13:51:13,2.62,64544266.0,169162008.0,0.077,2.62,2.61,57197000.0,58630000.0,2.62,1.521,1.8459999999999999,0.4370000000000001,2.6160000000000005,,
2020-08-13 13:52:32,2.62,64595266.0,169295368.0,0.077,2.62,2.61,59352000.0,58112000.0,2.62,1.521,1.3119999999999998,0.435,2.6180000000000008,,
2020-08-13 13:53:50,2.61,64827266.0,169902168.0,0.078,2.62,2.61,58326000.0,58454000.0,2.62,1.521,1.5430000000000001,0.434,2.6180000000000008,,
2020-08-13 13:54:53,2.62,65215266.0,170916963.0,0.078,2.62,2.61,59550000.0,58326000.0,2.62,1.521,1.429,0.433,2.6180000000000008,,
2020-08-13 13:55:53,2.61,66319266.0,173798688.0,0.079,2.62,2.61,58157000.0,56386000.0,2.62,1.521,1.058,0.441,2.6160000000000005,,
2020-08-13 13:56:07,2.62,67546268.0,177001268.0,0.081,2.62,2.61,59318000.0,54772000.0,2.62,1.521,0.853,0.447,2.6160000000000005,,
2020-08-13 13:57:45,2.61,67633268.0,177229058.0,0.081,2.62,2.61,59456000.0,55658000.0,2.62,1.521,1.051,0.445,2.614,,
2020-08-13 13:59:01,2.61,67642268.0,177252603.0,0.081,2.62,2.61,58097000.0,56148000.0,2.62,1.521,1.56,0.443,2.614,,
2020-08-13 13:59:43,2.62,67923268.0,177987353.0,0.081,2.62,2.61,58985000.0,54986000.0,2.62,1.521,1.037,0.442,2.614,,
2020-08-13 14:00:40,2.62,68126268.0,178518618.0,0.081,2.62,2.61,59007000.0,56852000.0,2.62,1.521,1.186,0.441,2.6160000000000005,,
2020-08-13 14:02:09,2.62,68146268.0,178570908.0,0.081,2.62,2.61,61095000.0,54631000.0,2.62,1.521,0.736,0.439,2.6160000000000005,,
2020-08-13 14:02:42,2.61,68171268.0,178636178.0,0.08199999999999999,2.62,2.61,60459000.0,55105000.0,2.62,1.521,0.585,0.4370000000000001,2.6160000000000005,,
2020-08-13 14:03:45,2.62,68188268.0,178680698.0,0.08199999999999999,2.62,2.61,59096000.0,55141000.0,2.62,1.521,0.6709999999999999,0.435,2.6180000000000008,2.6154999999999995,0.002500000000001279
2020-08-13 14:05:16,2.62,68395568.0,179222191.0,0.08199999999999999,2.62,2.61,59071000.0,55704000.0,2.62,1.521,0.818,0.434,2.6180000000000008,2.615999999999999,0.002000000000001556
2020-08-13 14:06:20,2.62,68447568.0,179357981.0,0.08199999999999999,2.62,2.61,59080000.0,55166000.0,2.62,1.521,0.672,0.433,2.6180000000000008,2.615999999999999,0.002000000000001556
2020-08-13 14:07:10,2.61,68478568.0,179439166.0,0.08199999999999999,2.62,2.61,60319000.0,55173000.0,2.62,1.521,0.5479999999999999,0.431,2.6160000000000005,2.615999999999999,1.3322676295501878e-15
2020-08-13 14:08:15,2.62,68504568.0,179507061.0,0.08199999999999999,2.62,2.61,60386000.0,55683000.0,2.62,1.521,0.588,0.429,2.6180000000000008,2.6164999999999994,0.0015000000000013891
2020-08-13 14:09:23,2.61,68649568.0,179885731.0,0.08199999999999999,2.62,2.61,60375000.0,55018000.0,2.62,1.521,0.42,0.4270000000000001,2.6160000000000005,2.6164999999999994,-0.0004999999999988347
2020-08-13 14:10:29,2.61,68866568.0,180454026.0,0.08199999999999999,2.62,2.61,59046000.0,55834000.0,2.62,1.521,0.785,0.426,2.614,2.615999999999999,-0.0019999999999993356
2020-08-13 14:11:10,2.62,68997668.0,180797483.0,0.083,2.62,2.61,63254000.0,54935000.0,2.62,1.521,0.637,0.426,2.614,2.615999999999999,-0.0019999999999993356
2020-08-13 14:12:37,2.61,69162668.0,181229428.0,0.083,2.62,2.61,62374000.0,55953000.0,2.62,1.521,0.81,0.424,2.614,2.6154999999999995,-0.0014999999999996128
2020-08-13 14:13:43,2.61,69243894.0,181441989.0,0.083,2.62,2.61,63059000.0,55927000.0,2.62,1.521,0.875,0.423,2.6119999999999997,2.6149999999999993,-0.0029999999999996696
2020-08-13 14:14:47,2.62,69901894.0,183164711.0,0.084,2.62,2.61,62702000.0,55863000.0,2.62,1.521,0.88,0.42200000000000004,2.614,2.6154999999999995,-0.0014999999999996128
2020-08-13 14:15:16,2.62,70253894.0,184085706.0,0.084,2.62,2.61,61768000.0,59168000.0,2.62,1.521,1.942,0.424,2.6160000000000005,2.6154999999999995,0.0005000000000010552
2020-08-13 14:16:50,2.62,70384894.0,184428876.0,0.084,2.62,2.61,61643000.0,59149000.0,2.62,1.521,1.955,0.424,2.6160000000000005,2.615999999999999,1.3322676295501878e-15
2020-08-13 14:17:40,2.62,70475894.0,184667271.0,0.084,2.62,2.61,61039000.0,59233000.0,2.62,1.521,2.15,0.423,2.6180000000000008,2.615999999999999,0.002000000000001556
2020-08-13 14:18:50,2.61,70527894.0,184803471.0,0.084,2.62,2.61,60993000.0,60994000.0,2.62,1.521,2.728,0.42100000000000004,2.6180000000000008,2.615999999999999,0.002000000000001556
2020-08-13 14:19:38,2.62,70696894.0,185245166.0,0.085,2.62,2.61,60935000.0,60039000.0,2.62,1.521,2.632,0.42,2.6180000000000008,2.6164999999999994,0.0015000000000013891
2020-08-13 14:20:24,2.61,70787894.0,185483411.0,0.085,2.62,2.61,60892000.0,60094000.0,2.62,1.521,2.657,0.419,2.6160000000000005,2.615999999999999,1.3322676295501878e-15
2020-08-13 14:21:54,2.61,70810894.0,185543476.0,0.085,2.62,2.61,62166000.0,60044000.0,2.62,1.521,2.516,0.417,2.614,2.6154999999999995,-0.0014999999999996128
2020-08-13 14:22:54,2.62,70983894.0,185995521.0,0.085,2.62,2.61,62025000.0,60091000.0,2.62,1.521,2.568,0.41600000000000004,2.614,2.6154999999999995,-0.0014999999999996128
2020-08-13 14:24:08,2.61,70989894.0,186011211.0,0.085,2.62,2.61,62002000.0,60107000.0,2.62,1.521,2.61,0.414,2.614,2.6154999999999995,-0.0014999999999996128
2020-08-13 14:24:53,2.61,71145894.0,186418631.0,0.085,2.62,2.61,62127000.0,60060000.0,2.62,1.521,2.59,0.413,2.6119999999999997,2.6149999999999993,-0.0029999999999996696
2020-08-13 14:26:16,2.62,71185894.0,186523176.0,0.085,2.62,2.61,60881000.0,60044000.0,2.62,1.521,2.765,0.412,2.614,2.6149999999999993,-0.0009999999999994458
2020-08-13 14:27:20,2.62,71218894.0,186609576.0,0.085,2.62,2.61,61049000.0,60137000.0,2.62,1.521,2.755,0.41,2.6160000000000005,2.6149999999999993,0.0010000000000012221
2020-08-13 14:28:25,2.62,71296894.0,186813701.0,0.085,2.62,2.61,61015000.0,60147000.0,2.62,1.521,2.715,0.409,2.6160000000000005,2.6154999999999995,0.0005000000000010552
2020-08-13 14:29:21,2.61,71543894.0,187459636.0,0.086,2.62,2.61,60957000.0,61070000.0,2.62,1.521,2.968,0.40700000000000003,2.6160000000000005,2.6149999999999993,0.0010000000000012221
2020-08-13 14:30:31,2.62,72170934.0,189102330.0,0.086,2.62,2.61,60008000.0,60592000.0,2.62,1.521,3.109,0.407,2.6180000000000008,2.6154999999999995,0.002500000000001279
2020-08-13 14:31:30,2.61,72308934.0,189463675.0,0.086,2.62,2.61,58471000.0,61827000.0,2.62,1.521,3.452,0.409,2.6160000000000005,2.6154999999999995,0.0005000000000010552
2020-08-13 14:32:36,2.62,72478934.0,189908795.0,0.087,2.62,2.61,58318000.0,61624000.0,2.62,1.521,3.431,0.408,2.6160000000000005,2.6154999999999995,0.0005000000000010552
2020-08-13 14:33:21,2.61,72686372.0,190450437.0,0.087,2.62,2.61,58298000.0,61460000.0,2.62,1.521,3.428,0.408,2.614,2.6154999999999995,-0.0014999999999996128
2020-08-13 14:34:20,2.62,73029372.0,191347857.0,0.087,2.62,2.61,58014000.0,61403000.0,2.62,1.521,3.596,0.408,2.6160000000000005,2.615999999999999,1.3322676295501878e-15
2020-08-13 14:35:36,2.62,73188372.0,191763017.0,0.08800000000000001,2.62,2.61,58017000.0,61300000.0,2.62,1.521,3.4339999999999997,0.40700000000000003,2.6160000000000005,2.615999999999999,1.3322676295501878e-15
2020-08-13 14:36:10,2.61,73216372.0,191836332.0,0.08800000000000001,2.62,2.61,58004000.0,61313000.0,2.62,1.521,3.4730000000000003,0.406,2.6160000000000005,2.6154999999999995,0.0005000000000010552
2020-08-13 14:37:38,2.61,73272372.0,191983017.0,0.08800000000000001,2.62,2.61,58018000.0,61279000.0,2.62,1.521,3.7039999999999997,0.405,2.614,2.6149999999999993,-0.0009999999999994458
2020-08-13 14:38:36,2.62,73302372.0,192061432.0,0.08800000000000001,2.62,2.61,58107000.0,61302000.0,2.62,1.521,3.688,0.403,2.6160000000000005,2.6149999999999993,0.0010000000000012221
2020-08-13 14:39:38,2.62,73454372.0,192458492.0,0.08800000000000001,2.62,2.61,58608000.0,61199000.0,2.62,1.521,3.5380000000000003,0.402,2.6160000000000005,2.6154999999999995,0.0005000000000010552
2020-08-13 14:40:53,2.61,73527372.0,192649497.0,0.08800000000000001,2.62,2.61,58481000.0,61139000.0,2.62,1.521,3.555,0.4,2.614,2.6149999999999993,-0.0009999999999994458
2020-08-13 14:42:06,2.62,73594372.0,192824992.0,0.08800000000000001,2.62,2.61,59432000.0,61333000.0,2.62,1.521,3.525,0.39899999999999997,2.6160000000000005,2.6154999999999995,0.0005000000000010552
2020-08-13 14:43:27,2.61,73655372.0,192984737.0,0.08800000000000001,2.62,2.61,59258000.0,59171000.0,2.62,1.521,3.05,0.397,2.6160000000000005,2.6154999999999995,0.0005000000000010552
2020-08-13 14:44:47,2.61,73810372.0,193390607.0,0.08800000000000001,2.62,2.61,59114000.0,59196000.0,2.62,1.521,3.085,0.396,2.614,2.6149999999999993,-0.0009999999999994458
2020-08-13 14:46:06,2.62,74147372.0,194271762.0,0.08900000000000001,2.62,2.61,58263000.0,58906000.0,2.62,1.521,3.045,0.395,2.614,2.6154999999999995,-0.0014999999999996128
2020-08-13 14:47:38,2.62,74186372.0,194373917.0,0.08900000000000001,2.62,2.61,57697000.0,58903000.0,2.62,1.521,3.1910000000000003,0.39399999999999996,2.6160000000000005,2.615999999999999,1.3322676295501878e-15
2020-08-13 14:48:24,2.61,74211072.0,194438453.0,0.08900000000000001,2.62,2.61,57692000.0,58964000.0,2.62,1.521,3.1910000000000003,0.391,2.614,2.6154999999999995,-0.0014999999999996128
2020-08-13 14:50:02,2.61,74429072.0,195008298.0,0.08900000000000001,2.62,2.61,58649000.0,58973000.0,2.62,1.521,2.931,0.391,2.614,2.6149999999999993,-0.0009999999999994458
2020-08-13 14:51:08,2.61,75674072.0,198258473.0,0.09,2.62,2.61,59126000.0,58590000.0,2.619,1.521,2.82,0.396,2.614,2.6144999999999996,-0.0004999999999997229
2020-08-13 14:51:12,2.62,75741072.0,198433983.0,0.091,2.62,2.61,58978000.0,58512000.0,2.6189999999999998,1.521,2.852,0.395,2.614,2.6149999999999993,-0.0009999999999994458
2020-08-13 14:52:39,2.61,75794072.0,198572383.0,0.091,2.62,2.61,57515000.0,58546000.0,2.619,1.521,3.244,0.394,2.6119999999999997,2.6144999999999996,-0.0024999999999999467
2020-08-13 14:54:14,2.61,75824072.0,198650888.0,0.091,2.62,2.61,57497000.0,59574000.0,2.6189999999999998,1.521,3.563,0.392,2.6119999999999997,2.6144999999999996,-0.0024999999999999467
2020-08-13 14:55:21,2.62,76031072.0,199191458.0,0.091,2.62,2.61,58863000.0,59429000.0,2.619,1.521,3.093,0.391,2.614,2.6144999999999996,-0.0004999999999997229
2020-08-13 14:55:59,2.61,76104072.0,199382538.0,0.091,2.62,2.61,57441000.0,59455000.0,2.6189999999999998,1.521,3.4760000000000004,0.39,2.614,2.6144999999999996,-0.0004999999999997229
2020-08-13 14:57:26,2.62,76216072.0,199675828.0,0.091,2.62,2.61,57896000.0,59472000.0,2.619,1.521,3.362,0.389,2.614,2.6144999999999996,-0.0004999999999997229
2020-08-13 14:58:23,2.61,76425682.0,200223075.0,0.091,2.62,2.61,57904000.0,59379000.0,2.6189999999999998,1.521,3.341,0.389,2.614,2.614,0.0
2020-08-13 14:59:38,2.62,76686682.0,200905685.0,0.092,2.62,2.61,58297000.0,59266000.0,2.619,1.521,3.22,0.388,2.6160000000000005,2.6144999999999996,0.001500000000000945
2020-08-13 15:00:27,2.62,76729682.0,201018170.0,0.092,2.62,2.61,58820000.0,59202000.0,2.6189999999999998,1.521,3.07,0.387,2.6160000000000005,2.6149999999999993,0.0010000000000012221
2020-08-13 15:01:47,2.62,76774682.0,201135945.0,0.092,2.62,2.61,58543000.0,59193000.0,2.619,1.521,3.18,0.386,2.6180000000000008,2.6149999999999993,0.003000000000001446
2020-08-13 15:02:46,2.61,76893682.0,201447515.0,0.092,2.62,2.61,58952000.0,59341000.0,2.6189999999999998,1.521,3.1069999999999998,0.385,2.6160000000000005,2.6144999999999996,0.001500000000000945
2020-08-13 15:03:51,2.62,77012882.0,201759777.0,0.092,2.62,2.61,57502000.0,59330000.0,2.619,1.521,3.119,0.384,2.6180000000000008,2.6149999999999993,0.003000000000001446
2020-08-13 15:04:19,2.61,77079882.0,201935167.0,0.092,2.62,2.61,57459000.0,59336000.0,2.6189999999999998,1.521,3.134,0.38299999999999995,2.6160000000000005,2.6144999999999996,0.001500000000000945
2020-08-13 15:05:53,2.62,77683882.0,203512027.0,0.093,2.62,2.61,57455000.0,59883000.0,2.619,1.521,3.5980000000000003,0.383,2.6160000000000005,2.6149999999999993,0.0010000000000012221
2020-08-13 15:06:11,2.62,77903882.0,204088387.0,0.09300000000000001,2.62,2.61,58059000.0,59982000.0,2.6189999999999998,1.521,3.448,0.384,2.6160000000000005,2.6154999999999995,0.0005000000000010552
2020-08-13 15:07:36,2.62,78056882.0,204489012.0,0.093,2.62,2.61,57035000.0,60168000.0,2.619,1.521,3.577,0.383,2.6180000000000008,2.6154999999999995,0.002500000000001279
2020-08-13 15:08:38,2.62,78068882.0,204520432.0,0.09300000000000001,2.62,2.61,57095000.0,60193000.0,2.6189999999999998,1.521,3.582,0.382,2.6180000000000008,2.6154999999999995,0.002500000000001279
2020-08-13 15:10:08,2.62,78267882.0,205040177.0,0.094,2.62,2.61,56939000.0,60003000.0,2.619,1.521,3.287,0.382,2.620000000000001,2.615999999999999,0.00400000000000178
2020-08-13 15:10:46,2.61,79302882.0,207751667.0,0.095,2.62,2.61,56119000.0,60436000.0,2.6189999999999998,1.521,3.14,0.385,2.6180000000000008,2.615999999999999,0.002000000000001556
2020-08-13 15:12:11,2.62,79363882.0,207911172.0,0.095,2.62,2.61,56130000.0,60365000.0,2.619,1.521,3.35,0.384,2.6180000000000008,2.6164999999999994,0.0015000000000013891
2020-08-13 15:13:09,2.62,79416320.0,208048340.0,0.095,2.62,2.61,56228000.0,60571000.0,2.6189999999999998,1.521,3.485,0.38299999999999995,2.6180000000000008,2.6164999999999994,0.0015000000000013891
2020-08-13 15:14:11,2.62,79509320.0,208291965.0,0.095,2.62,2.61,56149000.0,60500000.0,2.619,1.521,3.754,0.382,2.6180000000000008,2.616999999999999,0.0010000000000016662
2020-08-13 15:15:20,2.62,79757320.0,208940015.0,0.095,2.62,2.61,56275000.0,60267000.0,2.6189999999999998,1.521,3.611,0.381,2.6180000000000008,2.617499999999999,0.0005000000000019433
2020-08-13 15:16:19,2.61,79798320.0,209047100.0,0.095,2.62,2.61,56509000.0,60429000.0,2.619,1.521,3.585,0.381,2.6180000000000008,2.616999999999999,0.0010000000000016662
