update_time,last_price,volume,turnover,turnover_rate,ask_price,bid_price,ask_vol,bid_vol,avg_price,amplitude,bid_ask_ratio,volume_ratio,MA5,MA20,MA diff
2020-08-13 13:43:42,99.5,2379497.0,235391784.0,0.08199999999999999,99.55,99.45,14000.0,6500.0,98.925,1.307,-38.76300000000001,1.148,,,
2020-08-13 13:45:32,99.45,2411997.0,238626809.0,0.083,99.45,99.4,3000.0,12500.0,98.933,1.408,-13.924,1.152,,,
2020-08-13 13:45:55,99.4,2415497.0,238974709.0,0.083,99.45,99.4,6500.0,6000.0,98.93299999999999,1.4080000000000001,-16.45,1.1520000000000001,,,
2020-08-13 13:47:18,99.25,2427497.0,240167109.0,0.084,99.25,99.2,6000.0,5000.0,98.936,1.408,34.447,1.15,,,
2020-08-13 13:48:23,99.35,2437497.0,241160159.0,0.084,99.45,99.2,9000.0,5000.0,98.93700000000001,1.4080000000000001,-2.7689999999999997,1.153,99.39000000000001,,
2020-08-13 13:48:23,99.35,2437497.0,241160159.0,0.084,99.45,99.2,10000.0,10000.0,98.937,1.408,-0.597,1.147,99.36000000000001,,
2020-08-13 13:50:31,99.25,2448497.0,242251821.0,0.084,99.3,99.2,8000.0,16000.0,98.93799999999999,1.4080000000000001,50.431000000000004,1.141,99.32000000000002,,
2020-08-13 13:50:57,99.4,2459997.0,243393946.0,0.085,99.45,99.4,5500.0,11000.0,98.94,1.408,-41.995,1.145,99.32000000000002,,
2020-08-13 13:52:39,99.2,2480997.0,245480234.0,0.086,99.25,99.2,9000.0,6500.0,98.944,1.4080000000000001,32.473,1.148,99.31000000000003,,
2020-08-13 13:53:36,99.25,2490497.0,246423059.0,0.086,99.3,99.2,11000.0,6500.0,98.945,1.408,29.897,1.147,99.29000000000003,,
2020-08-13 13:54:17,99.35,2505997.0,247962434.0,0.086,99.4,99.2,12000.0,10500.0,98.947,1.4080000000000001,22.666999999999998,1.148,99.29000000000003,,
2020-08-13 13:55:42,99.4,2511997.0,248557734.0,0.087,99.4,99.2,6000.0,12000.0,98.948,1.408,26.449,1.145,99.32000000000002,,
2020-08-13 13:56:47,99.45,2557997.0,253131384.0,0.08800000000000001,99.5,99.35,5000.0,13000.0,98.956,1.4080000000000001,-27.49,1.16,99.33000000000004,,
2020-08-13 13:57:45,99.45,2564997.0,253827484.0,0.08900000000000001,99.5,99.4,5500.0,12000.0,98.958,1.408,-31.524,1.154,99.38000000000005,,
2020-08-13 13:59:03,99.45,2583997.0,255716234.0,0.08900000000000001,99.45,99.35,3000.0,8000.0,98.961,1.4080000000000001,-34.052,1.1540000000000001,99.42000000000004,,
2020-08-13 13:59:24,99.4,2596997.0,257009034.0,0.09,99.5,99.4,7500.0,8000.0,98.963,1.408,-32.922,1.161,99.43000000000004,,
2020-08-13 13:59:24,99.4,2596997.0,257009034.0,0.09,99.5,99.4,7000.0,13500.0,98.963,1.4080000000000001,-26.247,1.156,99.43000000000004,,
2020-08-13 14:01:16,99.45,2598997.0,257207934.0,0.09,99.5,99.4,9500.0,11500.0,98.964,1.408,-36.907,1.151,99.43000000000005,,
2020-08-13 14:02:41,99.5,2602497.0,257556034.0,0.09,99.5,99.4,9500.0,12000.0,98.964,1.4080000000000001,-37.551,1.146,99.44000000000007,,
