update_time,last_price,volume,turnover,turnover_rate,ask_price,bid_price,ask_vol,bid_vol,avg_price,amplitude,bid_ask_ratio,volume_ratio,MA5,MA20,MA diff
2020-08-13 13:39:55,40.0,1304752.0,51887348.0,0.051,40.05,40.0,4000.0,17000.0,39.766999999999996,2.484,2.5180000000000002,0.67,,,
2020-08-13 13:39:55,40.0,1304752.0,51887348.0,0.051,40.05,40.0,5000.0,17000.0,39.767,2.484,2.334,0.6659999999999999,,,
2020-08-13 13:39:55,40.0,1304752.0,51887348.0,0.051,40.05,40.0,7000.0,17000.0,39.766999999999996,2.484,2.151,0.664,,,
2020-08-13 13:46:41,40.05,1305752.0,51927398.0,0.051,40.05,40.0,6000.0,20000.0,39.768,2.484,3.02,0.6609999999999999,,,
2020-08-13 13:48:30,40.0,1306788.0,51968828.0,0.051,40.05,40.0,16000.0,20000.0,39.768,2.484,2.5,0.657,40.010000000000005,,
2020-08-13 13:48:30,40.0,1306788.0,51968828.0,0.051,40.05,40.0,9000.0,22000.0,39.768,2.484,3.02,0.654,40.010000000000005,,
2020-08-13 13:50:16,40.05,1315788.0,52329228.0,0.052000000000000005,40.1,40.05,13000.0,26000.0,39.77,2.484,-15.385,0.652,40.02,,
2020-08-13 13:50:16,40.05,1317788.0,52409328.0,0.052000000000000005,40.1,40.05,12000.0,22000.0,39.77,2.484,-17.71,0.652,40.03000000000001,,
2020-08-13 13:52:48,40.05,1351788.0,53771128.0,0.053,40.1,40.0,32000.0,4000.0,39.777,2.484,-11.545,0.65,40.03000000000001,,
2020-08-13 13:53:37,40.0,1353788.0,53851128.0,0.053,40.05,40.0,12000.0,2000.0,39.778,2.484,-1.091,0.6629999999999999,40.03000000000001,,
2020-08-13 13:53:37,40.0,1354288.0,53870978.0,0.053,40.05,40.0,14000.0,2000.0,39.778,2.484,-0.546,0.66,40.03000000000001,,
2020-08-13 13:53:37,40.0,1355038.0,53900790.0,0.053,40.05,40.0,14000.0,3000.0,39.778,2.484,-0.364,0.6579999999999999,40.02,,
2020-08-13 13:53:37,40.0,1363538.0,54240640.0,0.053,40.05,39.95,11000.0,7000.0,39.779,2.484,8.306000000000001,0.6559999999999999,40.010000000000005,,
2020-08-13 13:57:29,40.0,1367538.0,54400690.0,0.054000000000000006,40.1,40.0,34000.0,17000.0,39.78,2.484,-8.266,0.657,40.0,,
